NAME,PROCESSOR,RAM,HDD,NO,SSD,DISPLAY,OPERATING SYSTEM,",",IMAGE-src
Apple MacBook Pro MPTU2HN/A Laptop (Ci7/ 16GB/ 256GB SSD/ Mac OS/ 2GB Graph),Intel Core i7 7th Gen,16 GB DDR3 RAM,NO,256 GB SSD,2 GB Intel Graphics Card,"15.4 inches, 2800 x 1800 pixels",Mac OS,"1,95,000",https://cdn1.smartprix.com/rx-ivlQEHYoo-w103-h125/apple-macbook-pro-mp.jpg
Apple MacBook Pro MLH42HN/A Notebook (Ci7/ 16GB/ 512GB SSD/ Mac OS Sierra/ 2GB Graph),Intel Core i7,16 GB DDR3 RAM,NO,512 GB SSD,2 GB  Graphics Card,"15 inches, 2880 x 1800 pixels",Mac OS,"2,00,000",https://cdn1.smartprix.com/rx-imvDEUBIn-w103-h125/apple-macbook-pro-ml.jpg
Apple MacBook Pro 2018 13-inch Touch Bar Laptop (Core i7/ 8GB/ 512GB SSD/ MacOS High Sierra),Core i7,8 GB DDR3 RAM,NO,512 GB SSD,Intel Iris Plus Graphics 655,"13.3 inches, 1600 x 2560 pixels",Mac High Sierra OS,"2,00,000",https://cdn1.smartprix.com/rx-ijriMoqNa-w103-h125/apple-macbook-pro-20.jpg
Apple MacBook Pro 16 Laptop (9th Gen Core i9/ 32GB/ 2TB SSD/ MacOS/ 4GB Graph),Intel Core i9 9th Gen,32 GB DDR4 RAM,NO,2 TB SSD,4 GB AMD Graphics Card,"16 inches, 3072 x 1920 pixels",Mac Catalina OS,"2,01,000",https://cdn1.smartprix.com/rx-igjPi6GNE-w103-h125/apple-macbook-pro-16.webp
Apple MacBook Pro MR932HN/A Touch Bar Laptop (8th Gen Ci7/ 16GB/ 256GB SSD/ Mac OS Mojave),Intel Core i7 8th Gen,16 GB DDR4 RAM,NO,256 GB SSD,4 GB AMD Graphics Card,"15.4 inches, 2880 x 1800 pixels",Mac OS,"2,08,000",https://cdn1.smartprix.com/rx-ig65biT6R-w103-h125/apple-macbook-pro-mr.jpg
Apple MacBook Pro MV912HN Laptop (8th Gen Core i9/ 16GB/ 512GB SSD/ Mac OS Mojave/ 4GB Graph),Intel Core i9 8th Gen,16 GB DDR3 RAM,NO,512 GB SSD,4 GB AMD Graphics Card,"15.4 inches, 2880 x 1800 pixels",Mac OS,"2,10,000",https://cdn1.smartprix.com/rx-ijJlVEfLN-w103-h125/apple-macbook-pro-mv.webp
Apple MacBook Pro MR952HN/A Ultrabook (8th Gen Core i9/ 32GB/ 1TB SSD/ macOS High Sierra/ 4GB Graph),Intel Core i9 8th Gen,32 GB DDR4 RAM,NO,1 TB SSD,4 GB  Graphics Card,"15.4 inches, 2880 x 1800 pixels",Mac OS,"2,10,000",https://cdn1.smartprix.com/rx-iL5hye55q-w103-h125/apple-macbook-pro-mr.webp
Apple MacBook Pro MR962HN/A Ultrabook (8th Gen Ci7/ 16 B/ 256GB SSD/ MacOS High Sierra/ 4GB Graph),Intel Core i7 8th Gen,16 GB DDR4 RAM,NO,256 GB SSD,4 GB  Graphics Card,"15.4 inches, 2880 x 1800 pixels",Backlit Keyboard,"2,16,000",https://cdn1.smartprix.com/rx-ik5OGo9LJ-w103-h125/apple-macbook-pro-mr.jpg
Apple MacBook Pro MPTT2HN/A Laptop (Ci7/ 16GB/ 512GB SSD/ Mac OS/ 4GB Graph),Intel Core i7 7th Gen,16 GB DDR3 RAM,NO,512 GB SSD,4 GB AMD Graphics Card,"15.4 inches, 2800 x 1800 pixels",Mac OS,"2,17,000",https://cdn1.smartprix.com/rx-iTdIPf0x4-w103-h125/apple-macbook-pro-mp.jpg
Apple MacBook Pro MV932HN Laptop (8th Gen Core i9/ 16GB/ 512GB SSD/ Mac OS Mojave/ 4GB Graph),Intel Core i9 8th Gen,16 GB DDR3 RAM,NO,512 GB SSD,4 GB AMD Graphics Card,"15.4 inches, 2880 x 1800 pixels",Mac OS,"2,25,000",https://cdn1.smartprix.com/rx-iwo1fv5wc-w103-h125/apple-macbook-pro-mv.jpg
Apple MacBook Pro MVVM2HN/A Laptop (9th Gen Core i9/ 16GB/ 1TB SSD/ Mac OS Catalina/ 4GB Graph),Intel Core i9 9th Gen,16 GB DDR4 RAM,NO,1 TB SSD,4 GB AMD Graphics Card,"16 inches, 3072 x 1920 pixels",Mac OS,"2,25,000",https://cdn1.smartprix.com/rx-i3Wob9L3P-w103-h125/apple-macbook-pro-mv.webp
Apple MacBook Pro MVVK2HN/A Laptop (9th Gen Core i9/ 16GB/ 1TB SSD/ Mac OS Catalina/ 4GB Graph),Intel Core i9 9th Gen,16 GB DDR4 RAM,NO,1 TB SSD,4 GB AMD Graphics Card,"16 inches, 3072 x 1920 pixels",Mac OS,"2,25,000",https://cdn1.smartprix.com/rx-iV7hO062E-w103-h125/apple-macbook-pro-mv.webp
Apple MacBook Pro MR942HN/A Touch Bar Laptop (8th Gen Ci7/ 16GB/ 512GB SSD/ Mac OS Mojave/ 4GB Graph),Intel Core i7 8th Gen,16 GB DDR4 RAM,NO,512 GB SSD,4 GB AMD Graphics Card,"15.4 inches, 2880 x 1800 pixels",Mac OS,"2,32,000",https://cdn1.smartprix.com/rx-iXM40mxX4-w103-h125/apple-macbook-pro-mr.jpg
Apple MacBook Pro MR972HN Ultrabook (8th Gen Ci7/ 16GB/ 512GB SSD/ MacOS High Sierra/ 4GB Graph),Intel Core i7 8th Gen,16 GB DDR4 RAM,NO,512 GB SSD,4 GB  Graphics Card,"15.4 inches, 2880 x 1800 pixels",Backlit Keyboard,"2,62,000",https://cdn1.smartprix.com/rx-iHrmeDSQa-w103-h125/apple-macbook-pro-mr.jpg
APPLE MAC PRO MD878HN/A 6( CORE XEON E5 /16GB/256GB /3GB/MAC OS),Intel Xeon E5,16 GB  RAM,256 GB Hard Disk,NO,AMD FirePro D500,MacOS Sierra OS,Mac OS,"3,00,000",https://cdn1.smartprix.com/rx-iisG0pxoJ-w103-h125/apple-mac-pro-md878h.jpg
