NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
HP Pavilion 15-bc408tx (4WD03PA) Laptop (8th Gen Ci7/ 8GB/ 1TB 128GB SSD/ Win10/ 4GB Graph),Intel Core i7 8th Gen,8 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics 5500,"15.6 inches, 1366 x 768 pixels",Windows 8 OS," 20,554 ",https://cdn1.smartprix.com/rx-ixQiy1S18-w103-h125/hp-pavilion-15-p202t.jpg
HP 15-db1060au (8VY88PA) Laptop (AMD Ryzen 3/ 4GB/ 1TB 256GB SSD/ Win10),AMD Ryzen 3 3rd Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,ATI RADEON HD8330,"14 inches, 1366 x 768 pixels",Ubuntu OS," 20,800 ",https://cdn1.smartprix.com/rx-i6AVQEMWu-w103-h125/hp-245-g2-serieslapt.jpg
HP Omen 15-dh0136TX (7QU41PA) Laptop (9th Gen Core i7/ 16GB/ 1TB 512GB SSD/ Win10/ 6GB Graph),Intel Core i7 9th Gen,16 GB DDR4 RAM,1 TB Hard Disk,NO,NO,"14 inches, 1366 x 768 pixels",DOS OS," 20,850 ",https://cdn1.smartprix.com/rx-iEgHFvjJI-w103-h125/hp-455-laptop-apu-du.jpg
HP 15g-br001tu (3KM34PA) Notebook (6th Gen Ci3/ 4GB/ 1TB/ Win10),Core i3 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,AMD Radeon R4,"14 inches, 1366 x 768 pixels",DOS OS," 20,900 ",https://cdn1.smartprix.com/rx-iMd23hZgU-w103-h125/hp-245-g7-7gz75pa-la.jpg
HP 15q-dy0007AU (6AL29PA) Laptop (APU Dual Core A9/ 4GB/ 1TB/ Win10 Home),AMD APU A9,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 20,990 ",https://cdn1.smartprix.com/rx-iq1FyFgFa-w103-h125/hp-15-ac172tu-p6m77p.jpg
HP Pavilion 15-n007AX Laptop (APU Quad Core A10/ 8GB/ 1TB/ Win8/ 2GB Graph),AMD A10 APU,8 GB DDR3 RAM,1 TB Hard Disk,NO,Intel HD Graphics 405,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 20,990 ",https://cdn1.smartprix.com/rx-i4DVdGP7m-w103-h125/hp-15-ay015tu-w6t27p.jpg
HP 15-CS3006TX Laptop (10th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win10/ 2GB Graph),Intel Core i5 10th Gen,8 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated HD 610,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 20,990 ",https://cdn1.smartprix.com/rx-iGDE1dTCu-w103-h125/hp-15-da0389tu-lapto.jpg
HP 14S-ER0003TU Laptop (10th Gen Core i5/ 8GB/ 1TB 256GB SSD/ Win10 Home),Intel Core i5 10th Gen,8 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated HD 610,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 20,990 ",https://cdn1.smartprix.com/rx-iWbHdl5UN-w103-h125/hp-15-da0389tu-7nh16.jpg
HP Envy 13-ad079TU Laptop (7th Gen Ci3/ 4GB/ 128GB SSD/ Win10 Home),Intel Core i3 7th Gen,4 GB DDR3 RAM,NO,128 GB SSD,AMD Radeon R2,"14 inches, 1366 x 768 pixels",Windows 8 OS," 20,990 ",https://cdn1.smartprix.com/rx-iYyW8m3Om-w103-h125/hp-245-g3-notebook-a.jpg
HP Pavilion G6-1318AX Laptop (APU Dual Core A4/ 2GB/ 320GB/ DOS/ 1.5GB Graph),AMD A4 APU,2 GB DDR3 RAM,320 GB Hard Disk,NO,NO,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 20,990 ",https://cdn1.smartprix.com/rx-iFNbi3aH3-w103-h125/hp-15-bg008au-1pl47p.jpg
