NAME,PROCESSOR,RAM,HDD,SSD,GRAPHIC CARD,DISPLAY,OPERATING SYSTEM, PRICE ,IMAGE-src
Asus X53TK-SX056D Laptop (APU Quad Core A6/ 4GB/ 320GB/ DOS/ 1GB Graph),AMD A6 APU,4 GB DDR3 RAM,320 GB Hard Disk,NO,1 GB AMD Graphics Card,"15.6 inches, 1366 x 768 pixels",DOS OS," 26,990 ",https://cdn1.smartprix.com/rx-isVbXyNHt-w103-h125/asus-x53tk-sx056d-la.jpg
Asus X540UA-GQ683T Laptop (7th Gen Ci3/ 4GB/ 1TB/ Win10 Home),Intel Core i3 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel Integrated HD 620,"15.6 inches, 1366 x 768 pixels",Windows 10 OS," 26,990 ",https://cdn1.smartprix.com/rx-iBV7kKZ6X-w103-h125/asus-x540ua-gq683t-l.jpg
Asus Vivobook X507UA-EJ858T Laptop (7th Gen Core i3/ 4GB/ 1TB/ Win10 Home),Intel Core i3 7th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD Graphics 620,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 26,990 ",https://cdn1.smartprix.com/rx-i9gEHDCjW-w103-h125/asus-vivobook-x507ua.jpg
Asus X541UA-DM883D Laptop (6th Gen Ci3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 6th Gen,4 GB DDR4 RAM,1 TB Hard Disk,NO,Intel HD,"15.6 inches, 1920 x 1080 pixels",DOS OS," 26,999 ",https://cdn1.smartprix.com/rx-iUcxnyElz-w103-h125/asus-x541ua-dm883d-l.jpg
Asus X55C-SX026D Laptop (2nd Gen Ci3/ 2GB/ 500GB/ Free DOS),Intel Core i3,2 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD 3000,"15.6 inches, 1366 x 768 pixels",DOS OS," 27,000 ",https://cdn1.smartprix.com/rx-i4smRdSD0-w103-h125/asus-x55c-sx026d-lap.jpg
Asus A555LA-XX2036D Laptop (5th Gen Core i3/ 4GB/ 1TB/ FreeDOS),Intel Core i3 5th Gen,4 GB DDR3 RAM,1 TB Hard Disk,NO,Intel HD Graphics 5500,"15.6 inches, 1366 x 768 pixels",DOS OS," 27,199 ",https://cdn1.smartprix.com/rx-iJZ8BDFpl-w103-h125/asus-a555la-xx2036d.jpg
Asus Chromebook C202SA-YS02 Laptop (Celeron Dual Core/ 4GB/ 16GB eMMC/ Chrome OS),Intel Celeron N3060,4 GB DDR3 RAM,NO,16 GB SSD,Intel HD Graphics,"11.6 inches, 1366 x 768 pixels",Chrome OS," 27,210 ",https://cdn1.smartprix.com/rx-iuYAcQ6EE-w103-h125/asus-chromebook-c202.jpg
Asus VivoBook 15 X509UA-EJ342T Laptop (7th Gen Core i3/ 4GB/ 1TB/ Win10),Intel Core i3 7th Gen,4 GB  RAM,1 TB Hard Disk,NO,Intel HD Graphics 620,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 27,400 ",https://cdn1.smartprix.com/rx-ijluT9tg1-w103-h125/asus-vivobook-15-x50.jpg
Asus X551CA-SX014H Laptop (3rd Gen Ci3/ 4GB/ 500GB/ Win8),Intel Core i3,4 GB DDR3 RAM,500 GB Hard Disk,NO,Intel HD Graphics 4000,"15.6 inches, 1366 x 768 pixels",Windows 8 OS," 27,499 ",https://cdn1.smartprix.com/rx-iIKxZyGfb-w103-h125/asus-x551ca-sx014h-l.jpg
Asus EJ362T (90NB0NC2-M03010) Laptop (7th Gen Core i3/ 4GB/ 256GB/ Win10),Intel Core i3 7th Gen,4 GB DDR4 RAM,NO,256 GB SSD,Intel Integrated HD 620,"15.6 inches, 1920 x 1080 pixels",Windows 10 OS," 27,590 ",https://cdn1.smartprix.com/rx-iKz0Wg8FN-w103-h125/asus-ej362t-90nb0nc2.jpg
